id,systemCode,name,chamber,type,activityName,activityDate
hr1650,hsju00,Judiciary Committee,House,Standing,Referred to,2023-03-17 15:01:05+00:00
hr1651,hssm00,Small Business Committee,House,Standing,Reported by,2023-06-05 22:30:09+00:00
hr1651,hssm00,Small Business Committee,House,Standing,Markup by,2023-05-23 21:42:28+00:00
hr1651,hssm00,Small Business Committee,House,Standing,Referred to,2023-03-17 15:02:05+00:00
hr1652,hsgo00,Oversight and Accountability Committee,House,Standing,Referred to,2023-03-17 15:02:35+00:00
hr1653,hsgo00,Oversight and Accountability Committee,House,Standing,Referred to,2023-03-17 15:03:05+00:00
hr1654,hswm00,Ways and Means Committee,House,Standing,Referred to,2023-03-17 15:04:35+00:00
hr1655,hsed00,Education and the Workforce Committee,House,Standing,Referred to,2023-03-17 15:05:15+00:00
hr1656,hswm00,Ways and Means Committee,House,Standing,Referred to,2023-03-17 15:05:50+00:00
hr166,hsba00,Financial Services Committee,House,Standing,Referred to,2023-01-09 22:02:10+00:00
hr1661,hswm00,Ways and Means Committee,House,Standing,Referred to,2023-03-17 15:01:35+00:00
hr1662,hsba00,Financial Services Committee,House,Standing,Referred to,2023-03-17 15:04:50+00:00
hr1663,hsba00,Financial Services Committee,House,Standing,Referred to,2023-03-17 15:06:10+00:00
hr1664,hsba00,Financial Services Committee,House,Standing,Referred to,2023-03-17 15:06:50+00:00
hr1666,hswm00,Ways and Means Committee,House,Standing,Referred to,2023-03-17 15:00:40+00:00
hr1669,ssva00,Veterans' Affairs Committee,Senate,Standing,Referred to,2023-05-30 20:38:21+00:00
hr1674,hssy00,"Science, Space, and Technology Committee",House,Standing,Referred to,2023-03-21 21:02:00+00:00
hr1675,hswm00,Ways and Means Committee,House,Standing,Referred to,2023-03-21 21:03:15+00:00
hr1676,hswm00,Ways and Means Committee,House,Standing,Referred to,2023-03-21 21:03:10+00:00
hr1678,hsju00,Judiciary Committee,House,Standing,Referred to,2023-03-21 21:02:30+00:00
hr1679,hswm00,Ways and Means Committee,House,Standing,Referred to,2023-03-21 21:00:40+00:00
hr1679,hsha00,Committee on House Administration,House,Standing,Referred to,2023-03-21 21:00:35+00:00
hr1679,hsag00,Agriculture Committee,House,Standing,Referred to,2023-03-21 21:00:30+00:00
hr1679,hsba00,Financial Services Committee,House,Standing,Referred to,2023-03-21 21:00:25+00:00
hr168,hsju00,Judiciary Committee,House,Standing,Referred to,2023-01-09 22:11:25+00:00
hr1680,hsfa00,Foreign Affairs Committee,House,Standing,Referred to,2023-03-21 21:01:20+00:00
hr1681,hsas00,Armed Services Committee,House,Standing,Referred to,2023-03-21 21:02:35+00:00
hr1682,hsas00,Armed Services Committee,House,Standing,Referred to,2023-03-21 21:02:15+00:00
hr1682,hsed00,Education and the Workforce Committee,House,Standing,Referred to,2023-03-21 21:02:10+00:00
hr1684,hsfa00,Foreign Affairs Committee,House,Standing,Markup by,2023-03-28 04:05:19+00:00
hr1684,hsfa00,Foreign Affairs Committee,House,Standing,Referred to,2023-03-21 21:03:45+00:00
hr1684,hsju00,Judiciary Committee,House,Standing,Referred to,2023-03-21 21:03:50+00:00
hr1685,hswm00,Ways and Means Committee,House,Standing,Referred to,2023-03-21 21:00:05+00:00
hr1687,ssga00,Homeland Security and Governmental Affairs Committee,Senate,Standing,Referred to,2024-06-04 17:52:16+00:00
hr1687,hsgo00,Oversight and Accountability Committee,House,Standing,Markup by,2023-07-12 20:31:00+00:00
hr1687,hsgo00,Oversight and Accountability Committee,House,Standing,Referred to,2023-03-21 21:01:45+00:00
hr1688,hsed00,Education and the Workforce Committee,House,Standing,Referred to,2023-03-21 21:03:25+00:00
hr1688,hswm00,Ways and Means Committee,House,Standing,Referred to,2023-03-21 21:03:20+00:00
hr1689,hsed00,Education and the Workforce Committee,House,Standing,Referred to,2023-03-21 21:03:30+00:00
hr169,hsgo00,Oversight and Accountability Committee,House,Standing,Referred to,2023-01-09 22:15:10+00:00
hr1690,hsju00,Judiciary Committee,House,Standing,Discharged from,2023-05-05 15:44:58+00:00
hr1690,hsju00,Judiciary Committee,House,Standing,Referred to,2023-03-22 16:02:35+00:00
hr1690,hsfa00,Foreign Affairs Committee,House,Standing,Reported by,2023-05-05 15:44:37+00:00
hr1690,hsfa00,Foreign Affairs Committee,House,Standing,Markup by,2023-04-29 03:58:13+00:00
hr1690,hsfa00,Foreign Affairs Committee,House,Standing,Markup by,2023-04-27 03:58:06+00:00
hr1690,hsfa00,Foreign Affairs Committee,House,Standing,Referred to,2023-03-22 16:02:30+00:00
hr1691,hswm00,Ways and Means Committee,House,Standing,Referred to,2023-03-22 16:01:10+00:00
hr1692,hswm00,Ways and Means Committee,House,Standing,Referred to,2023-03-22 16:06:10+00:00
hr1693,hsju00,Judiciary Committee,House,Standing,Referred to,2023-03-22 16:06:20+00:00
hr1694,hswm00,Ways and Means Committee,House,Standing,Referred to,2023-03-22 16:00:10+00:00
hr1695,hsgo00,Oversight and Accountability Committee,House,Standing,Markup by,2023-07-12 20:25:00+00:00
hr1695,hsgo00,Oversight and Accountability Committee,House,Standing,Referred to,2023-03-22 16:03:50+00:00
hr1696,hsju00,Judiciary Committee,House,Standing,Referred to,2023-03-22 16:06:35+00:00
hr1698,hsju00,Judiciary Committee,House,Standing,Referred to,2023-03-22 16:06:00+00:00
hr1699,hsju00,Judiciary Committee,House,Standing,Referred to,2023-03-22 16:02:10+00:00
hr17,hsgo00,Oversight and Accountability Committee,House,Standing,Referred to,2023-03-10 14:00:10+00:00
hr17,hsed00,Education and the Workforce Committee,House,Standing,Referred to,2023-03-10 14:00:05+00:00
hr170,hsgo00,Oversight and Accountability Committee,House,Standing,Referred to,2023-01-09 22:11:35+00:00
hr1700,hsju00,Judiciary Committee,House,Standing,Referred to,2023-03-22 16:05:45+00:00
hr1700,hswm00,Ways and Means Committee,House,Standing,Referred to,2023-03-22 16:05:40+00:00
hr1701,hsju00,Judiciary Committee,House,Standing,Referred to,2023-03-22 16:04:50+00:00
hr1701,hsed00,Education and the Workforce Committee,House,Standing,Referred to,2023-03-22 16:04:45+00:00
hr1704,hsfa00,Foreign Affairs Committee,House,Standing,Referred to,2023-03-22 16:03:10+00:00
hr1705,hsed00,Education and the Workforce Committee,House,Standing,Referred to,2023-03-22 16:01:45+00:00
hr1705,hsju00,Judiciary Committee,House,Standing,Referred to,2023-03-22 16:01:30+00:00
hr1705,hsii00,Natural Resources Committee,House,Standing,Referred to,2023-03-22 16:01:25+00:00
hr1706,hsed00,Education and the Workforce Committee,House,Standing,Referred to,2023-03-22 16:04:05+00:00
